Unnamed: 0,Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Displacement Category,Acceleration Category
929,Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,201000.0,Large,Fast
57,Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000.0,Medium,Fast
432,Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.2,45000.0,Medium,Medium
739,Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,222500.0,Extra Large,Fast
692,Bentley,Continental GT Speed,2022,6.0,650.0,664.0,3.5,300000.0,Large,Fast
24,Pagani,Huayra,2021,6.0,720.0,737.0,2.8,2800000.0,Large,Fast
1005,Pagani,Huayra,2021,6.0,764.0,738.0,3.0,2600000.0,Large,Fast
896,Audi,RS 7,2021,4.0,591.0,590.0,3.4,114000.0,Medium,Fast
286,Kia,Stinger,2022,3.3,368.0,376.0,4.7,52200.0,Medium,Fast
347,Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,133050.0,Large,Fast
840,Mercedes-Benz,AMG C43 Coupe,2021,3.0,385.0,384.0,4.5,59900.0,Medium,Fast
116,Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,642.0,3.2,190000.0,Medium,Fast
84,Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,219800.0,Large,Fast
52,Ford,Mustang GT,2022,5.0,460.0,420.0,4.3,39000.0,Large,Fast
277,Lamborghini,Aventador SVJ,2020,6.5,770.0,531.0,2.8,573966.0,Extra Large,Fast
770,Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,63000.0,Small,Fast
606,Audi,RS 6,2022,4.0,591.0,590.0,3.5,109000.0,Medium,Fast
429,Mercedes-Benz,AMG C 63,2022,4.0,503.0,516.0,3.8,70000.0,Medium,Fast
306,Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417826.0,Extra Large,Fast
271,Lotus,Evora GT,2022,3.5,416.0,317.0,3.8,105000.0,Medium,Fast
934,Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150000.0,Large,Fast
18,Porsche,Boxster,2021,2.0,300.0,280.0,4.7,62000.0,Small,Fast
247,Tesla,Model S Plaid,2022,4.0,1020.0,1050.0,1.9,131190.0,Medium,Fast
318,Pagani,Huayra,2021,6.0,730.0,738.0,3.0,2600000.0,Large,Fast
568,Lamborghini,Urus,2022,4.0,641.0,626.0,3.2,218009.0,Medium,Fast
295,Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417826.0,Extra Large,Fast
62,Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,146000.0,Medium,Fast
261,Audi,TT RS,2022,2.5,394.0,354.0,3.4,67895.0,Medium,Fast
668,McLaren,570S,2021,3.8,562.0,443.0,2.7,204995.0,Medium,Fast
29,Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,Medium,Fast
682,Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,310000.0,Large,Fast
454,Ferrari,F8 Spider,2021,3.9,710.0,568.0,2.9,280000.0,Medium,Fast
630,Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,201000.0,Large,Fast
420,Lotus,Evija,2022,,1973.0,1254.0,2.5,2750000.0,,Fast
582,Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,70595.0,Extra Large,Fast
951,McLaren,GT,2021,4.0,612.0,465.0,3.1,250000.0,Medium,Fast
800,McLaren,570S,2021,3.8,562.0,443.0,3.1,193000.0,Medium,Fast
555,Lamborghini,Aventador S,2022,6.5,729.0,507.0,2.9,460247.0,Extra Large,Fast
720,Audi,RS7,2022,4.0,591.0,590.0,3.5,115000.0,Medium,Fast
628,Aston Martin,DB11,2021,4.0,503.0,498.0,3.7,205600.0,Medium,Fast
416,Ford,GT,2021,3.5,660.0,550.0,2.8,500000.0,Medium,Fast
813,Mercedes-Benz,C 63 AMG,2022,4.0,469.0,479.0,3.9,69000.0,Medium,Fast
197,McLaren,600LT,2021,3.8,592.0,457.0,2.8,242500.0,Medium,Fast
272,McLaren,GT,2021,4.0,612.0,465.0,3.1,211000.0,Medium,Fast
